dummy,dcterms:identifier,dcterms:title,dcterms:description,dcterms:date §private,dcterms:subject @ja,dcterms:subject @en,dcterms:rights ^^uri,item set,resource template,public,owner
,post_69,横から見たオムツ姿の赤ちゃんのイラスト,オムツだけを履いた裸の赤ちゃんを横から見たイラストです。,2020-12-17,あかちゃん|リクエスト,Baby|Request,https://www.irasutoya.com/p/terms.html,baby,Base Resource,1,1
,post_226,赤ちゃんの胸囲の測定のイラスト,赤ちゃんの胴回りをメジャーを使って測っているイラストです。,2020-11-24,あかちゃん|医療,Baby|Medical Care,https://www.irasutoya.com/p/terms.html,baby,Base Resource,1,1
